"","X","x1","x2","x3","x4","x5","x6","x7","shrinkage"
"1",1,-1,-1,1,1,1,1,-1,15.824610729454
"2",2,1,-1,1,1,-1,-1,1,17.2027780349357
"3",3,1,1,1,-1,1,-1,-1,16.7884251174097
"4",4,-1,-1,-1,1,-1,1,1,19.9483730154278
"5",5,-1,1,-1,1,1,-1,1,20.4587406065376
"6",6,1,1,-1,-1,-1,-1,1,21.7920474758789
"7",7,-1,1,1,-1,-1,1,1,12.0830687218933
"8",8,1,-1,-1,-1,1,1,1,26.9779430993293
"9",9,-1,1,1,1,-1,-1,-1,6.47688607463531
"10",10,-1,1,-1,-1,1,1,-1,23.5087685647827
"11",11,-1,-1,-1,-1,-1,-1,-1,10.8495360013864
"12",12,1,-1,1,-1,-1,1,-1,16.0786301570812
"13",13,1,1,-1,1,-1,1,-1,24.4557935993793
"14",14,1,-1,-1,1,1,-1,-1,22.7020602393309
"15",15,1,1,1,1,1,1,1,17.4944442603262
"16",16,-1,-1,1,-1,1,-1,1,18.7183103277983
